date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:15	36468/36468	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2019:51:52%20GMT	https://validthemes.live/themeforest/essay/index-video.html	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/index-video.html	(from https://validthemes.live/themeforest/essay/index.html)
16:47:16	36325/36325	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2019:51:40%20GMT	https://validthemes.live/themeforest/essay/index-particle.html	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/index-particle.html	(from https://validthemes.live/themeforest/essay/index.html)
16:47:17	47566/47566	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2005:33:14%20GMT	https://validthemes.live/themeforest/essay/assets/img/demo/particle.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/demo/particle.jpg	(from https://validthemes.live/themeforest/essay/index.html)
16:47:17	46971/46971	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2005:31:40%20GMT	https://validthemes.live/themeforest/essay/assets/img/demo/video.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/demo/video.jpg	(from https://validthemes.live/themeforest/essay/index.html)
16:47:19	10670/10670	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2020:21:42%20GMT	https://validthemes.live/themeforest/essay/blog.html	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/blog.html	(from https://validthemes.live/themeforest/essay/index.html)
16:47:20	40151/40151	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2020:05:14%20GMT	https://validthemes.live/themeforest/essay/assets/img/demo/blog.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/demo/blog.jpg	(from https://validthemes.live/themeforest/essay/index.html)
16:47:20	32948/32948	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2020:09:16%20GMT	https://validthemes.live/themeforest/essay/assets/img/demo/single.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/demo/single.jpg	(from https://validthemes.live/themeforest/essay/index.html)
16:47:22	51953/51953	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2005:05:52%20GMT	https://validthemes.live/themeforest/essay/assets/img/author/2.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/author/2.jpg	(from https://validthemes.live/themeforest/essay/index-video.html)
16:47:22	88564/88564	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2005:00:46%20GMT	https://validthemes.live/themeforest/essay/assets/img/banner/7.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/banner/7.jpg	(from https://validthemes.live/themeforest/essay/index-video.html)
16:47:23	93313/93313	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2005:21:10%20GMT	https://validthemes.live/themeforest/essay/assets/img/banner/8.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/banner/8.jpg	(from https://validthemes.live/themeforest/essay/index-particle.html)
16:47:23	72573/72573	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2005:25:40%20GMT	https://validthemes.live/themeforest/essay/assets/img/author/1.jpg	C:/Users/mashk/Desktop/rk/rk/validthemes.live/themeforest/essay/assets/img/author/1.jpg	(from https://validthemes.live/themeforest/essay/index-particle.html)
